rule_order,stage,detail_category,parent_category,include_group,exclude_group,main_source,n_include_patterns,n_exclude_patterns,include_patterns_readable,exclude_patterns_readable,include_patterns_raw,exclude_patterns_raw
1,0,accessories,accessories,PAT_ACCESSORIES,PAT_ACCESSORIES_EXCLUDE,category_or_name_scope,113,34,sunglasses ; glasses ; goggles ; bags ; backpacks ; pouches ; wallets ; keyrings ; watches ; umbrellas ; belts ; neckties ; bow ties ; satin ties ; bibs ; hats ; beanies ; baseball caps ; cap hats ; caps ; hairbands ; headbands ; alice bands ; hair claws ; hair clips ; hair bands ; hair elastics ; bobby pins ; hair pins ; scrunchies ; scarf / scarves ; gloves ; mittens ; earmuffs ; arm covers ; neck warmers ; leg warmers ; jewellery ; jewelry ; blue light glasses ; water bottles ; iphone cases ; phone cases ; mobile accessories ; sleep masks ; press-on nails ; wrist weights ; towels ; stoles ; necklaces ; bracelets ; pendants ; cuff bracelets ; rings ; earrings ; hair extension clips ; hairbrushes ; hair brushes ; wrist warmers ; bra extenders ; body tape ; blankets ; fitted sheets ; sheets ; cushion covers ; cushions ; muslin cloths ; storage crates ; storage units ; wooden hooks ; hooks ; soft toys ; tamagotchi ; book storage ; cardboard suitcases ; children'?s chairs ; chairs ; mugs ; lunch boxes ; storage boxes ; posters ; shelf / shelves ; garlands ; paper lamp shades ; lamp shades ; duvet cover[set]s ; playmats ; rugs ; curtains ; pencil cases ; repair patches ; mending patches ; iron-on patches ; wool combs ; nail kits ; nipple covers ; bead boxes ; nail stickers ; hair accessories ; bathroom accessories ; valances ; hand tattoos ; calendars ; storage ; height charts ; face decorations ; wristbands ; makeup ; care products ; tableware ; gift boxes ; hair bows ; massager brushes,cap sleeves ; cap-sleeved ; scarf [up to 2 extra words] top / dress / blouse ; tie-belt[ed] [up to 2 extra words] dresses ; tie-belt[ed] coats ; tie-belt[ed] jackets ; tie-belt[ed] jumpsuits ; tie-belt[ed] trousers ; tie-belt[ed] pants ; tie-belt[ed] shirt dresses ; paper bag jeans ; paper bag shorts ; paper bag skirts ; paper bag trousers ; paper bag pants ; paper bag denim skirts ; paper bag [up to 2 extra words] shortss ; scarf-detail tops ; scarf-detail [up to 2 extra words] dresses ; scarf-detail coats ; scarf-detail jumpers ; scarf-detail blouses ; scarf-collar tops ; scarf-collar blouses ; cap-sleeved tops ; cap-sleeved dresses ; cap-sleeved cardigans ; cap-sleeved jackets ; cap-sleeved t-shirts ; tamagotchi [up to 2 extra words] t-shirts ; tamagotchi tops ; tamagotchi hoodies ; tamagotchi sweatshirts ; tamagotchi jumpers,\bsunglasses\b ; \bglasses\b ; \bgoggles?\b ; \bbag(?:s)?\b ; \bbackpack(?:s)?\b ; \bpouch(?:es)?\b ; \bwallet(?:s)?\b ; \bkeyring(?:s)?\b ; \bwatch(?:es)?\b ; \bumbrella(?:s)?\b ; \bbelt(?:s)?\b ; \bnecktie(?:s)?\b ; \bbow tie(?:s)?\b ; \bsatin tie(?:s)?\b ; \bbib(?:s)?\b ; \bhat(?:s)?\b ; \bbeanie(?:s)?\b ; \bbaseball cap(?:s)?\b ; \bcap hat(?:s)?\b ; \bcap(?:s)?\b ; \bhairband(?:s)?\b ; \bheadband(?:s)?\b ; \balice band(?:s)?\b ; \bhair claw(?:s)?\b ; \bhair clip(?:s)?\b ; \bhair band(?:s)?\b ; \bhair elastic(?:s)?\b ; \bbobby pin(?:s)?\b ; \bhair pin(?:s)?\b ; \bscrunchie(?:s)?\b ; \b(?:scarf|scarves)\b ; \bglove(?:s)?\b ; \bmitten(?:s)?\b ; \bearmuff(?:s)?\b ; \barm cover(?:s)?\b ; \bneck warmer(?:s)?\b ; \bleg warmer(?:s)?\b ; \bjewellery\b ; \bjewelry\b ; \bblue light glasses\b ; \bwater bottle(?:s)?\b ; \biphone case(?:s)?\b ; \bphone case(?:s)?\b ; \bmobile accessories\b ; \bsleep mask(?:s)?\b ; \bpress[- ]on nail(?:s)?\b ; \bwrist weight(?:s)?\b ; \btowel(?:s)?\b ; \bstole(?:s)?\b ; \bnecklace(?:s)?\b ; \bbracelet(?:s)?\b ; \bpendant(?:s)?\b ; \bcuff bracelet(?:s)?\b ; \bring(?:s)?\b ; \bearring(?:s)?\b ; \bhair extension clip(?:s)?\b ; \bhairbrush(?:es)?\b ; \bhair brush(?:es)?\b ; \bwrist warmer(?:s)?\b ; \bbra extender(?:s)?\b ; \bbody tape\b ; \bblanket(?:s)?\b ; \bfitted sheet(?:s)?\b ; \bsheet(?:s)?\b ; \bcushion cover(?:s)?\b ; \bcushion(?:s)?\b ; \bmuslin cloth(?:s)?\b ; \bstorage crate(?:s)?\b ; \bstorage unit(?:s)?\b ; \bwooden hook(?:s)?\b ; \bhook(?:s)?\b ; \bsoft toy(?:s)?\b ; \btamagotchi\b ; \bbook storage\b ; \bcardboard suitcase(?:s)?\b ; \bchildren'?s chair(?:s)?\b ; \bchair(?:s)?\b ; \bmug(?:s)?\b ; \blunch box(?:es)?\b ; \bstorage box(?:es)?\b ; \bposter(?:s)?\b ; \b(?:shelf|shelves)\b ; \bgarland(?:s)?\b ; \bpaper lamp shade(?:s)?\b ; \blamp shade(?:s)?\b ; \bduvet cover(?: set)?(?:s)?\b ; \bplaymat(?:s)?\b ; \brug(?:s)?\b ; \bcurtain(?:s)?\b ; \bpencil case(?:s)?\b ; \brepair patch(?:es)?\b ; \bmending patch(?:es)?\b ; \biron[- ]on patch(?:es)?\b ; \bwool comb(?:s)?\b ; \bnail kit(?:s)?\b ; \bnipple cover(?:s)?\b ; \bbead box(?:es)?\b ; \bnail sticker(?:s)?\b ; \bhair accessories\b ; \bbathroom accessories\b ; \bvalance(?:s)?\b ; \bhand tattoo(?:s)?\b ; \bcalendar(?:s)?\b ; \bstorage\b ; \bheight chart(?:s)?\b ; \bface decoration(?:s)?\b ; \bwristband(?:s)?\b ; \bmakeup\b ; \bcare products\b ; \btableware\b ; \bgift box(?:es)?\b ; \bhair bow(?:s)?\b ; \bmassager brush(?:es)?\b,"\bcap sleeve(?:s)?\b ; \bcap-sleeved\b ; \bscarf(?: [\w-]+){0,2}(?:top|dress|blouse)\b ; \btie[- ]belt(?:ed)? (?: [\w-]+){0,2} dress(?:es)?\b ; \btie[- ]belt(?:ed)? coat(?:s)?\b ; \btie[- ]belt(?:ed)? jacket(?:s)?\b ; \btie[- ]belt(?:ed)? jumpsuit(?:s)?\b ; \btie[- ]belt(?:ed)? trouser(?:s)?\b ; \btie[- ]belt(?:ed)? pant(?:s)?\b ; \btie[- ]belt(?:ed)? shirt dress(?:es)?\b ; \bpaper bag jeans\b ; \bpaper bag short(?:s)?\b ; \bpaper bag skirt(?:s)?\b ; \bpaper bag trouser(?:s)?\b ; \bpaper bag pant(?:s)?\b ; \bpaper bag denim skirt(?:s)?\b ; \bpaper bag (?: [\w-]+){0,2} shorts(?:s)?\b ; \bscarf[- ]detail top(?:s)?\b ; \bscarf[- ]detail (?: [\w-]+){0,2} dress(?:es)?\b ; \bscarf[- ]detail coat(?:s)?\b ; \bscarf[- ]detail jumper(?:s)?\b ; \bscarf[- ]detail blouse(?:s)?\b ; \bscarf[- ]collar top(?:s)?\b ; \bscarf[- ]collar blouse(?:s)?\b ; \bcap[- ]sleeved top(?:s)?\b ; \bcap[- ]sleeved dress(?:es)?\b ; \bcap[- ]sleeved cardigan(?:s)?\b ; \bcap[- ]sleeved jacket(?:s)?\b ; \bcap[- ]sleeved t[- ]shirt(?:s)?\b ; \btamagotchi (?: [\w-]+){0,2} t[- ]shirt(?:s)?\b ; \btamagotchi top(?:s)?\b ; \btamagotchi hoodie(?:s)?\b ; \btamagotchi sweatshirt(?:s)?\b ; \btamagotchi jumper(?:s)?\b"
2,0,footwear,footwear,PAT_FOOTWEAR,PAT_FOOTWEAR_EXCLUDE,category_or_name_scope,42,2,sock boots ; boots ; gumboots ; wellingtons ; wellies ; chelsea boots ; ankle boots ; knee-high boots ; rain boots ; snow boots ; hiking boots ; combat boots ; work boots ; sandals ; slides ; flip-flops ; mules ; strappy sandals ; platform sandals ; trainers ; sneakers ; running shoes ; runners ; tennis shoes ; hi-top sneakers ; high-top sneakers ; hi-top trainers ; high-top trainers ; shoes ; loafers ; heels ; pumps ; flats ; ballet flats ; slippers ; mary janes ; clogs ; moccasins ; brogues ; derby ; derbies ; espadrilles,sneaker socks ; trainer socks,\bsock boot(?:s)?\b ; \bboot(?:s)?\b ; \bgumboot(?:s)?\b ; \bwellington(?:s)?\b ; \bwellie(?:s)?\b ; \bchelsea boot(?:s)?\b ; \bankle boot(?:s)?\b ; \bknee[- ]high boot(?:s)?\b ; \brain boot(?:s)?\b ; \bsnow boot(?:s)?\b ; \bhiking boot(?:s)?\b ; \bcombat boot(?:s)?\b ; \bwork boot(?:s)?\b ; \bsandal(?:s)?\b ; \bslide(?:s)?\b ; \bflip[- ]flop(?:s)?\b ; \bmule(?:s)?\b ; \bstrappy sandal(?:s)?\b ; \bplatform sandal(?:s)?\b ; \btrainer(?:s)?\b ; \bsneaker(?:s)?\b ; \brunning shoe(?:s)?\b ; \brunner(?:s)?\b ; \btennis shoe(?:s)?\b ; \bhi[- ]top sneaker(?:s)?\b ; \bhigh[- ]top sneaker(?:s)?\b ; \bhi[- ]top trainer(?:s)?\b ; \bhigh[- ]top trainer(?:s)?\b ; \bshoe(?:s)?\b ; \bloafer(?:s)?\b ; \bheel(?:s)?\b ; \bpump(?:s)?\b ; \bflat(?:s)?\b ; \bballet flat(?:s)?\b ; \bslipper(?:s)?\b ; \bmary jane(?:s)?\b ; \bclog(?:s)?\b ; \bmoccasin(?:s)?\b ; \bbrogue(?:s)?\b ; \bderby\b ; \bderbies\b ; \bespadrille(?:s)?\b,\bsneaker sock(?:s)?\b ; \btrainer sock(?:s)?\b
3,1,swimwear,underwear,PAT_SWIMWEAR,PAT_SWIMWEAR_EXCLUDE,category/name/description,16,3,swimwear ; beachwear ; swimsuits ; bikinis ; swim briefs ; bikini bottoms ; bikini tops ; sarongs ; swim shorts ; board shorts ; rash vest ; rash guard ; rashie ; tankinis ; beach kaftans ; swim tops,kaftan dresses ; maxi kaftan dresses ; oversized kaftan dresses,\bswimwear\b ; \bbeachwear\b ; \bswimsuit(?:s)?\b ; \bbikini(?:s)?\b ; \bswim brief(?:s)?\b ; \bbikini bottom(?:s)?\b ; \bbikini top(?:s)?\b ; \bsarong(?:s)?\b ; \bswim short(?:s)?\b ; \bboard short(?:s)?\b ; \brash vest\b ; \brash guard\b ; \brashie\b ; \btankini(?:s)?\b ; \bbeach kaftan(?:s)?\b ; \bswim top(?:s)?\b,\bkaftan dress(?:es)?\b ; \bmaxi kaftan dress(?:es)?\b ; \boversized kaftan dress(?:es)?\b
4,1,sleepwear_homewear,overall,PAT_SLEEPWEAR,,category/name/description,12,0,pyjama[s / set] ; pajama[s / set] ; loungewear ; nightdresses ; bathrobes ; robes ; sleepsuits ; nightshirts ; nightwear ; sleepwear ; nightslips ; dressing gowns,,\bpyjama(?:s| set)?\b ; \bpajama(?:s| set)?\b ; \bloungewear\b ; \bnightdress(?:es)?\b ; \bbathrobe(?:s)?\b ; \brobe(?:s)?\b ; \bsleepsuit(?:s)?\b ; \bnightshirt(?:s)?\b ; \bnightwear\b ; \bsleepwear\b ; \bnightslip(?:s)?\b ; \bdressing gown(?:s)?\b,
5,1,bras_lingerie,underwear,PAT_BRAS,,category/name/description,8,0,bras ; bralettes ; bra tops ; sport bras ; sports bras ; underwired bras ; push-up bras ; bustiers,,\bbra(?:s)?\b ; \bbralette(?:s)?\b ; \bbra top(?:s)?\b ; \bsport bra(?:s)?\b ; \bsports bra(?:s)?\b ; \bunderwired bra(?:s)?\b ; \bpush[- ]up bra(?:s)?\b ; \bbustier(?:s)?\b,
6,1,underwear_bottoms,underwear,PAT_UNDERWEAR; PAT_BODYSUIT_UNDERWEAR,PAT_UNDERWEAR_EXCLUDE,category/name/description,25,4,briefs ; panty / ies ; thongs ; undershorts ; underwear ; knickers ; corsets ; boxers ; boxer briefs ; trunks ; half slips ; underskirts ; sculpting slips ; firm shape slips ; light shape slips ; light shape body ; seamless light shape body ; microfibre body ; lace body ; lace-trimmed body ; lace-trimmed cotton body ; seamless body ; pointelle body ; shaping bikers ; bodysuits,corset [up to 2 extra words] skirt ; corset [up to 2 extra words] dress ; corset tops ; bodysuit dresses,\bbrief(?:s)?\b ; \bpant(?:y|ies)\b ; \bthong(?:s)?\b ; \bundershort(?:s)?\b ; \bunderwear\b ; \bknicker(?:s)?\b ; \bcorset(?:s)?\b ; \bboxer(?:s)?\b ; \bboxer brief(?:s)?\b ; \btrunk(?:s)?\b ; \bhalf slip(?:s)?\b ; \bunderskirt(?:s)?\b ; \bsculpting slip(?:s)?\b ; \bfirm shape slip(?:s)?\b ; \blight shape slip(?:s)?\b ; \blight shape body\b ; \bseamless light shape body\b ; \bmicrofibre body\b ; \blace body\b ; \blace[- ]trimmed body\b ; \blace[- ]trimmed cotton body\b ; \bseamless body\b ; \bpointelle body\b ; \bshaping biker(?:s)?\b ; \bbodysuit(?:s)?\b,"\bcorset(?: [\w-]+){0,2} skirt\b ; \bcorset(?: [\w-]+){0,2} dress\b ; \bcorset top(?:s)?\b ; \bbodysuit dress(?:es)?\b"
7,1,socks_hosiery,underwear,PAT_SOCKS_HOSIERY,,category/name/description,13,0,ankle socks ; trainer socks ; sneaker socks ; crew socks ; no-show socks ; knee-high socks ; slipper socks ; socks ; tights ; hosiery ; pantyhose ; hold-ups ; stockings,,\bankle sock(?:s)?\b ; \btrainer sock(?:s)?\b ; \bsneaker sock(?:s)?\b ; \bcrew sock(?:s)?\b ; \bno[- ]show sock(?:s)?\b ; \bknee[- ]high sock(?:s)?\b ; \bslipper sock(?:s)?\b ; \bsock(?:s)?\b ; \btight(?:s)?\b ; \bhosiery\b ; \bpantyhose\b ; \bhold[- ]up(?:s)?\b ; \bstocking(?:s)?\b,
8,1,jumpsuits_overalls,overall,PAT_JUMPSUIT,,category/name/description,17,0,jumpsuits ; playsuits ; rompers ; dungarees ; all-in-ones ; coveralls ; leotards ; unitards ; one-piece outfits ; one-piece long sleeve outfits ; sport body ; sports body ; snowsuits ; pramsuits ; ski suits ; overalls ; pile overalls,,\bjumpsuit(?:s)?\b ; \bplaysuit(?:s)?\b ; \bromper(?:s)?\b ; \bdungaree(?:s)?\b ; \ball[- ]in[- ]one(?:s)?\b ; \bcoverall(?:s)?\b ; \bleotard(?:s)?\b ; \bunitard(?:s)?\b ; \bone[- ]piece outfit(?:s)?\b ; \bone[- ]piece long sleeve outfit(?:s)?\b ; \bsport body\b ; \bsports body\b ; \bsnowsuit(?:s)?\b ; \bpramsuit(?:s)?\b ; \bski suit(?:s)?\b ; \boverall(?:s)?\b ; \bpile overall(?:s)?\b,
9,1,dresses,overall,PAT_DRESS,PAT_DRESS_EXCLUDE,category/name/description,11,1,blazer dresses ; tee dresses ; cape dresses ; tie dresses ; corset dresses ; dress sets ; dressy sets ; dress & top sets ; top & dress sets ; dresses ; gathered chiffon kaftan,dress shirts,\bblazer dress(?:es)?\b ; \btee dress(?:es)?\b ; \bcape dress(?:es)?\b ; \btie dress(?:es)?\b ; \bcorset dress(?:es)?\b ; \bdress set(?:s)?\b ; \bdressy set(?:s)?\b ; \bdress & top set(?:s)?\b ; \btop & dress set(?:s)?\b ; \bdress(?:es)?\b ; \bgathered chiffon kaftan\b,\bdress shirt(?:s)?\b
10,1,set,overall,PAT_SET,,category/name/description,12,0,2-piece sets ; 3-piece sets ; base layer sets ; jersey sets ; knitted sets ; ribbed sets ; cotton sets ; velour sets ; fleece sets ; costume sets ; costume ; sets,,\b2[- ]piece set(?:s)?\b ; \b3[- ]piece set(?:s)?\b ; \bbase layer set(?:s)?\b ; \bjersey set(?:s)?\b ; \bknitted set(?:s)?\b ; \bribbed set(?:s)?\b ; \bcotton set(?:s)?\b ; \bvelour set(?:s)?\b ; \bfleece set(?:s)?\b ; \bcostume set(?:s)?\b ; \bcostume\b ; \bset(?:s)?\b,
