component_name_norm,component_class,matched_count
main,surface_component,29461
shell,surface_component,16392
lining,lining_component,8369
pocket_lining,pocket_component,4432
body,surface_component,2215
rib,trim_component,1069
padding,filling_component,646
lace,trim_component,519
cup_lining,lining_component,404
waist,trim_component,365
bottom_panel,panel_component,320
hood_lining,lining_component,267
coating,surface_component,241
top_panel,panel_component,222
back_panel,panel_component,210
sleeve_lining,lining_component,202
inner_layer,lining_component,195
mesh,other_component,194
pocket,pocket_component,192
collar,trim_component,179
crotch,panel_component,170
filling,filling_component,157
face,surface_component,144
pocket_fabric,pocket_component,134
body_lining,lining_component,122
front_panel,panel_component,120
base_fabric,surface_component,108
binder_part,trim_component,100
cuff,trim_component,100
elastic_part,trim_component,87
embroidery,decoration_component,85
tape,trim_component,77
details,other_component,73
body_filling,filling_component,62
wing,panel_component,62
pattern_area,decoration_component,44
belt,trim_component,43
hood,panel_component,42
sleeves,panel_component,42
other,other_component,40
petticoat,lining_component,39
trim,trim_component,36
binding,trim_component,29
woven_part,panel_component,28
chest_pocket_fabric,pocket_component,26
hem,trim_component,24
panel,panel_component,23
knit_part,panel_component,22
inner_support,other_component,21
side_panel,panel_component,17
upper_part,panel_component,17
other fabric,other_component,15
inside_panel,panel_component,15
frill,decoration_component,15
tulle,decoration_component,15
elastic,trim_component,15
inner_pants,lining_component,12
outer_layer,surface_component,12
middle layer,other_component,12
sleeve,panel_component,11
strap,trim_component,11
piping,trim_component,9
storage_bag,other_component,9
upper_body_filling,filling_component,7
skirt,panel_component,6
interlining,lining_component,6
flock_part,trim_component,6
hood_edge,panel_component,6
application,decoration_component,6
fringe,decoration_component,5
elastic section,panel_component,5
front_body_lining,lining_component,4
under_body_filling,filling_component,4
net,other_component,4
panels,panel_component,4
sock,other_component,4
shirring_part,trim_component,3
faux_fur,decoration_component,3
upper,panel_component,3
lower,panel_component,3
decorating_thread,decoration_component,2
patch_pocket,pocket_component,2
skirt_lining,lining_component,1
brown: navy,other_component,1
green,other_component,1
detail,other_component,1
elastic ribs,trim_component,1
