regex_pattern,readable_rule,component_name_norm,component_class,matched_count
^back\s*body:\s*collar$,back body: collar,body,surface_component,4
^body:\s*base$,body: base,body,surface_component,2
^body:\s*face$,body: face,body,surface_component,33
^body:\s*knit$,body: knit,body,surface_component,2
^body:\s*scarf$,body: scarf,body,surface_component,5
^body:\s*shell$,body: shell,shell,surface_component,2
^body:\s*skirt$,body: skirt,body,surface_component,20
^body:\s*woven$,body: woven,body,surface_component,2
^bottoms:\s*body$,bottoms: body,body,surface_component,4
^crotch:\s*face$,crotch: face,face,surface_component,2
^dress:\s*body$,dress: body,body,surface_component,2
^face:\s*base$,face: base,face,surface_component,4
^front\s*body:\s*sleeve$,front body: sleeve,body,surface_component,4
^hood:\s*shell$,hood: shell,shell,surface_component,13
^lower\s*body:\s*sides\s*of\s*the\s*item:\s*sleeve$,lower body: sides of the item: sleeve,body,surface_component,8
^lower\s*body:\s*top\s*sleeve$,lower body: top sleeve,body,surface_component,3
^shell:\s*base$,shell: base,shell,surface_component,38
^shell:\s*body$,shell: body,shell,surface_component,3
^shell:\s*knit$,shell: knit,shell,surface_component,5
^shell:\s*woven$,shell: woven,shell,surface_component,5
^skirt:\s*shell$,skirt: shell,shell,surface_component,1
^tops:\s*body$,tops: body,body,surface_component,9
^upper\s*body:\s*collar:\s*sleeve$,upper body: collar: sleeve,body,surface_component,1
^woven:\s*face$,woven: face,face,surface_component,3
^base$,base,base_fabric,surface_component,7
^base\s*fabric$,base fabric,base_fabric,surface_component,101
^back\s*body$,back body,body,surface_component,4
^body$,body,body,surface_component,2107
^lower\s*body$,lower body,body,surface_component,2
^upper\s*body$,upper body,body,surface_component,3
^coating$,coating,coating,surface_component,241
^face$,face,face,surface_component,135
^main$,main,main,surface_component,29439
^main\s*fabric$,main fabric,main,surface_component,13
^main\s*part$,main part,main,surface_component,9
^outer\s*layer$,outer layer,outer_layer,surface_component,12
^back\s*shell$,back shell,shell,surface_component,3
^front\s*shell$,front shell,shell,surface_component,4
^shell$,shell,shell,surface_component,16315
^wing\s*shell$,wing shell,shell,surface_component,3
^body:\s*hood\s*lining$,body: hood lining,hood_lining,lining_component,7
^body:\s*lining$,body: lining,body_lining,lining_component,4
^waist:\s*inner\s*pants$,waist: inner pants,inner_pants,lining_component,4
^elastic\s*part:\s*interlining$,elastic part: interlining,interlining,lining_component,2
^hood\s*edge:\s*inner\s*layer$,hood edge: inner layer,inner_layer,lining_component,25
^lining:\s*front\s*body$,lining: front body,front_body_lining,lining_component,4
^lining:\s*body$,lining: body,body_lining,lining_component,11
^skirt:\s*lining$,skirt: lining,skirt_lining,lining_component,1
^lining:\s*checks$,lining: checks,lining,lining_component,4
^lining:\s*checks\s*pattern$,lining: checks pattern,lining,lining_component,8
^lining:\s*knit$,lining: knit,lining,lining_component,1
^lining:\s*woven$,lining: woven,lining,lining_component,1
^body\s*lining$,body lining,body_lining,lining_component,107
^cup\s*\(\s*inner\s*lining\s*\)$,cup \ (inner lining \),cup_lining,lining_component,185
^cup\s*lining$,cup lining,cup_lining,lining_component,219
^hood\s*lining$,hood lining,hood_lining,lining_component,260
^inner\s*layer$,inner layer,inner_layer,lining_component,170
